Seed,Accuracy,Precision,Recall,F1-Score
1234,0.7532467532467533,0.7073170731707317,0.5272727272727272,0.6041666666666666
5678,0.8181818181818182,0.8235294117647058,0.6885245901639344,0.75
9012,0.7597402597402597,0.625,0.5319148936170213,0.5747126436781609
3456,0.7532467532467533,0.68,0.6071428571428571,0.6415094339622641
7890,0.7792207792207793,0.717948717948718,0.5490196078431373,0.6222222222222222
48291,0.7467532467532467,0.7045454545454546,0.543859649122807,0.6138613861386139
71635,0.7597402597402597,0.6938775510204082,0.6071428571428571,0.6476190476190476
20918,0.7077922077922078,0.5925925925925926,0.5818181818181818,0.5871559633027523
36547,0.7857142857142857,0.627906976744186,0.6136363636363636,0.6206896551724138
10283,0.6818181818181818,0.5869565217391305,0.47368421052631576,0.5242718446601942
94721,0.8246753246753247,0.7777777777777778,0.6730769230769231,0.7216494845360825
53068,0.7857142857142857,0.7435897435897436,0.5576923076923077,0.6373626373626373
87195,0.7402597402597403,0.64,0.5925925925925926,0.6153846153846154
61423,0.7337662337662337,0.7045454545454546,0.5254237288135594,0.6019417475728155
25856,0.7272727272727273,0.6585365853658537,0.4909090909090909,0.5625
13902,0.8246753246753247,0.717391304347826,0.7021276595744681,0.7096774193548387
78345,0.7597402597402597,0.6666666666666666,0.6545454545454545,0.6605504587155964
42678,0.8376623376623377,0.7073170731707317,0.6904761904761905,0.6987951807228916
96012,0.7012987012987013,0.5217391304347826,0.5,0.5106382978723404
30541,0.8051948051948052,0.723404255319149,0.6666666666666666,0.6938775510204082
