Seed,Accuracy,Precision,Recall,F1-Score
1234,0.8227848101265823,0.7272727272727273,0.6666666666666666,0.6956521739130435
5678,0.7468354430379747,0.6666666666666666,0.5185185185185185,0.5833333333333334
9012,0.7468354430379747,0.7619047619047619,0.5161290322580645,0.6153846153846154
3456,0.7721518987341772,0.6818181818181818,0.5769230769230769,0.625
7890,0.7088607594936709,0.43478260869565216,0.5,0.46511627906976744
48291,0.7974683544303798,0.6896551724137931,0.7407407407407407,0.7142857142857143
71635,0.7215189873417721,0.6923076923076923,0.5625,0.6206896551724138
20918,0.810126582278481,0.7142857142857143,0.625,0.6666666666666666
36547,0.8354430379746836,0.8181818181818182,0.6666666666666666,0.7346938775510204
10283,0.7848101265822784,0.7142857142857143,0.5769230769230769,0.6382978723404256
94721,0.7468354430379747,0.7058823529411765,0.4444444444444444,0.5454545454545454
53068,0.7974683544303798,0.5789473684210527,0.5789473684210527,0.5789473684210527
87195,0.7341772151898734,0.6956521739130435,0.5333333333333333,0.6037735849056604
61423,0.7974683544303798,0.7,0.5833333333333334,0.6363636363636364
25856,0.7341772151898734,0.5,0.5238095238095238,0.5116279069767442
13902,0.7341772151898734,0.6538461538461539,0.5862068965517241,0.6181818181818182
78345,0.7848101265822784,0.75,0.5555555555555556,0.6382978723404256
42678,0.7341772151898734,0.5714285714285714,0.5,0.5333333333333333
96012,0.7468354430379747,0.7692307692307693,0.5882352941176471,0.6666666666666666
30541,0.810126582278481,0.8076923076923077,0.6774193548387096,0.7368421052631579
