Seed,Accuracy,Precision,Recall,F1-Score
1234,0.7467532467532467,0.6739130434782609,0.5636363636363636,0.6138613861386139
5678,0.7987012987012987,0.8260869565217391,0.6229508196721312,0.7102803738317757
9012,0.7922077922077922,0.6595744680851063,0.6595744680851063,0.6595744680851063
3456,0.7012987012987013,0.6190476190476191,0.4642857142857143,0.5306122448979592
7890,0.7532467532467533,0.6585365853658537,0.5294117647058824,0.5869565217391305
48291,0.7727272727272727,0.7391304347826086,0.5964912280701754,0.6601941747572816
71635,0.7922077922077922,0.74,0.6607142857142857,0.6981132075471698
20918,0.7012987012987013,0.5918367346938775,0.5272727272727272,0.5576923076923077
36547,0.7467532467532467,0.5531914893617021,0.5909090909090909,0.5714285714285714
10283,0.7207792207792207,0.6590909090909091,0.5087719298245614,0.5742574257425742
94721,0.8116883116883117,0.7948717948717948,0.5961538461538461,0.6813186813186813
53068,0.7532467532467533,0.7058823529411765,0.46153846153846156,0.5581395348837209
87195,0.7662337662337663,0.6956521739130435,0.5925925925925926,0.64
61423,0.7597402597402597,0.775,0.5254237288135594,0.6262626262626263
25856,0.7272727272727273,0.6382978723404256,0.5454545454545454,0.5882352941176471
13902,0.7402597402597403,0.5853658536585366,0.5106382978723404,0.5454545454545454
78345,0.7532467532467533,0.660377358490566,0.6363636363636364,0.6481481481481481
42678,0.8116883116883117,0.6511627906976745,0.6666666666666666,0.6588235294117647
96012,0.7467532467532467,0.6,0.5625,0.5806451612903226
30541,0.7662337662337663,0.6829268292682927,0.5490196078431373,0.6086956521739131
Seed,Accuracy,Precision,Recall,F1-Score
1234,0.7467532467532467,0.6739130434782609,0.5636363636363636,0.6138613861386139
5678,0.7987012987012987,0.8260869565217391,0.6229508196721312,0.7102803738317757
9012,0.7922077922077922,0.6595744680851063,0.6595744680851063,0.6595744680851063
3456,0.7012987012987013,0.6190476190476191,0.4642857142857143,0.5306122448979592
7890,0.7532467532467533,0.6585365853658537,0.5294117647058824,0.5869565217391305
48291,0.7727272727272727,0.7391304347826086,0.5964912280701754,0.6601941747572816
71635,0.7922077922077922,0.74,0.6607142857142857,0.6981132075471698
20918,0.7012987012987013,0.5918367346938775,0.5272727272727272,0.5576923076923077
36547,0.7467532467532467,0.5531914893617021,0.5909090909090909,0.5714285714285714
10283,0.7207792207792207,0.6590909090909091,0.5087719298245614,0.5742574257425742
94721,0.8116883116883117,0.7948717948717948,0.5961538461538461,0.6813186813186813
53068,0.7532467532467533,0.7058823529411765,0.46153846153846156,0.5581395348837209
87195,0.7662337662337663,0.6956521739130435,0.5925925925925926,0.64
61423,0.7597402597402597,0.775,0.5254237288135594,0.6262626262626263
25856,0.7272727272727273,0.6382978723404256,0.5454545454545454,0.5882352941176471
13902,0.7402597402597403,0.5853658536585366,0.5106382978723404,0.5454545454545454
78345,0.7532467532467533,0.660377358490566,0.6363636363636364,0.6481481481481481
42678,0.8116883116883117,0.6511627906976745,0.6666666666666666,0.6588235294117647
96012,0.7467532467532467,0.6,0.5625,0.5806451612903226
30541,0.7662337662337663,0.6829268292682927,0.5490196078431373,0.6086956521739131
