Seed,Accuracy,Precision,Recall,F1-Score
1234,0.684931506849315,0.6111111111111112,0.4074074074074074,0.4888888888888889
5678,0.7808219178082192,0.7222222222222222,0.5416666666666666,0.6190476190476191
9012,0.7534246575342466,0.68,0.6296296296296297,0.6538461538461539
3456,0.726027397260274,0.6470588235294118,0.44,0.5238095238095238
7890,0.7671232876712328,0.6666666666666666,0.5833333333333334,0.6222222222222222
48291,0.7671232876712328,0.6666666666666666,0.5217391304347826,0.5853658536585366
71635,0.7671232876712328,0.6,0.5714285714285714,0.5853658536585366
20918,0.8493150684931506,0.75,0.7142857142857143,0.7317073170731707
36547,0.7808219178082192,0.8333333333333334,0.5357142857142857,0.6521739130434783
10283,0.6712328767123288,0.43478260869565216,0.47619047619047616,0.45454545454545453
94721,0.7534246575342466,0.6,0.42857142857142855,0.5
53068,0.7808219178082192,0.65,0.5909090909090909,0.6190476190476191
87195,0.726027397260274,0.8333333333333334,0.35714285714285715,0.5
61423,0.7808219178082192,0.7142857142857143,0.45454545454545453,0.5555555555555556
25856,0.821917808219178,0.7619047619047619,0.6666666666666666,0.7111111111111111
13902,0.7397260273972602,0.7222222222222222,0.48148148148148145,0.5777777777777777
78345,0.7671232876712328,0.6363636363636364,0.35,0.45161290322580644
42678,0.821917808219178,0.9333333333333333,0.5384615384615384,0.6829268292682927
96012,0.7808219178082192,0.7222222222222222,0.5416666666666666,0.6190476190476191
30541,0.7808219178082192,0.8,0.48,0.6
